Nombre_del_jugador,Club_del_Jugador,Part_jugados,puntos_clarin,Promedio_Puntos_Clarin,Puntos_Gran_DT,Promedio_Puntos_Gran_DT,Gol_de_Penal,Gol_en_Contra,Gol,Figura_de_la_cancha,Tarjeta_Amarilla,Tarjeta_roja,Penal_Errado,Valla_Invicta,Gol_de_Oro,Penal_atajado,Goles_recibidos
Covea  Michael,Rosario Ctral.,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Cuello  Brahian,Def. y Justicia,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Elias  Jalil,San Lorenzo,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Eseiza  Julian,Banfield,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Forclaz  Ezequiel,Tigre,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Galmarini  Martin,Tigre,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Gino  Federico,Aldosivi,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Gonzalez  Maximiliiano,Lanus,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Iritier  Javier,Aldosivi,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Machado  William,Arsenal,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Mercado  Diego,Huracan,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Ojeda  Agustin,Racing,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Orosco  Brian,Estudiantes,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Ortiz  Kevin,Rosario Ctral.,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Palacios  Julian,Banfield,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Paradela  Jose,River,3,0,0,-2,-0.67,0,0,0,0,1,0,0,,0,,
Pereira  Guillermo,Godoy Cruz,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Pereyra  Valentin,Patronato,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Pinto  Axel,Ctral. Cordoba,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Rolon  Esteban,Boca,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Sabella  Alexis,San Lorenzo,3,0,0,0,0,0,0,0,0,0,0,0,,0,,
Soñora  Joel,Velez,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Toledo  Hernan,Estudiantes,3,0,0,0,0,0,0,0,0,0,0,0,,0,,
Toranzo  Patricio,Huracan,3,0,0,-2,-0.67,0,0,0,0,1,0,0,,0,,
Valdez Chamorro  Jorge,Patronato,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Varela  Alan,Boca,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Vega  Gabriel,Boca,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Yacob  Claudio,Rosario Ctral.,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Femia  Nicolas,Sarmiento,1,0,0,-2,-2,0,0,0,0,1,0,0,,0,,
Linares  Nicolas,Ctral. Cordoba,1,0,0,-2,-2,0,0,0,0,1,0,0,,0,,
Veron  Deian,Ctral. Cordoba,1,0,0,-2,-2,0,0,0,0,1,0,0,,0,,
alvarez  Julian,River,5,32,6.4,51,10.2,1,0,3,1,0,0,0,,0,,
Villa  Sebastian,Boca,6,35,5.83,47,7.83,0,0,2,1,2,0,0,,0,,
Benedetto  Dario,Boca,4,26,6.5,45,11.25,1,0,2,1,0,0,0,,0,,
Bullaude  Ezequiel,Godoy Cruz,6,37,6.17,55,9.17,0,0,3,1,0,0,0,,0,,
avalos  Gabriel,Argentinos,6,33,5.5,45,7.5,0,0,2,1,0,0,0,,0,,
Pizzini  Francisco,Def. y Justicia,6,39,6.5,55,9.17,0,0,2,2,1,0,0,,0,,
Bergessio  Gonzalo,Platense,6,33,5.5,45,7.5,1,0,1,1,2,0,0,,1,,
Urzi  Agustin,Banfield,6,38,6.33,40,6.67,0,0,1,1,3,0,0,,0,,
Beltran  Lucas,Colon,6,29,4.83,49,8.17,0,0,3,1,0,0,0,,0,,
Gonzalez Metilli  Francisco,Ctral. Cordoba,6,34,5.67,44,7.33,0,0,1,1,0,0,0,,0,,
Lopez  Jose Manuel,Lanus,6,33,5.5,43,7.17,0,0,2,1,2,0,0,,0,,
Rodriguez  Luis,Colon,6,38,6.33,53,8.83,1,0,1,2,1,0,0,,0,,
Ruben  Marco,Rosario Ctral.,5,24,4.8,33,6.6,1,0,1,1,2,0,0,,0,,
Torres  Jonatan,Sarmiento,6,38,6.33,53,8.83,1,0,2,1,1,0,0,,0,,
Coccaro  Matias,Huracan,6,39,6.5,61,10.17,0,0,3,3,2,0,0,,0,,
Diaz  Alexander,Arsenal,6,33,5.5,41,6.83,0,0,1,1,0,0,0,,0,,
Lopez  Lisandro,Sarmiento,3,20,6.67,28,9.33,0,0,1,1,0,0,0,,0,,
Merentiel  Miguel,Def. y Justicia,6,38,6.33,56,9.33,0,0,4,1,1,0,1,,0,,
Luna Diale  Mauro,Union,3,17,5.67,24,8,1,0,0,1,0,0,0,,0,,
Andrada  Federico,Atl. Tucuman,5,25,5,33,6.6,0,0,1,1,0,0,0,,0,,
Boselli  Mauro,Estudiantes,6,19,3.17,40,6.67,1,0,3,1,0,0,0,,0,,
Mouche  Pablo,Barracas Ctral.,6,32,5.33,40,6.67,0,0,1,1,0,0,0,,0,,
alvez  Jonatan,Union,6,36,6,48,8,0,0,2,2,2,0,0,,0,,
Benegas  Leandro,Independiente,3,19,6.33,25,8.33,0,0,1,0,0,0,0,,0,,
Magnin  Pablo,Tigre,4,17,4.25,23,5.75,0,0,1,0,0,0,0,,0,,
Barco  Esequiel,River,6,38,6.33,44,7.33,0,0,1,1,1,0,0,,0,,
Colidio  Facundo,Tigre,6,29,4.83,33,5.5,0,0,0,1,0,0,0,,0,,
Bou  Walter,Def. y Justicia,6,36,6,40,6.67,0,0,1,0,1,0,0,,0,,
Copetti  Enzo,Racing,6,23,3.83,31,5.17,0,0,2,0,1,0,0,,0,,
Hauche  Gabriel,Racing,6,41,6.83,59,9.83,0,0,2,2,0,0,0,,0,,
Marquez  Rodrigo,Independiente,5,12,2.4,18,3.6,0,0,1,0,0,0,0,,0,,
Pisano  Matias,Aldosivi,6,28,4.67,34,5.67,0,0,1,0,0,0,0,,0,,
Protti  Ijiel,Tigre,6,37,6.17,43,7.17,0,0,1,0,0,0,0,,0,,
Rotondi  Rodolfo,Def. y Justicia,6,35,5.83,45,7.5,0,0,2,0,0,0,0,,0,,
Tarragona  Cristian,Gimnasia L.P.,6,33,5.5,41,6.83,0,0,2,0,1,0,0,,0,,
Candia  Jhonatan,Huracan,6,35,5.83,47,7.83,2,0,2,0,1,0,0,,0,,
Farias  Facundo,Colon,6,30,5,34,5.67,0,0,1,0,0,0,0,,0,,
Orellano  Luca,Velez,6,33,5.5,41,6.83,0,0,1,1,0,0,0,,0,,
Cauteruccio  Martin,Aldosivi,5,30,6,46,9.2,0,0,3,0,0,0,0,,0,,
Rodriguez  Salomon,Godoy Cruz,4,20,5,30,7.5,0,0,2,0,1,0,0,,0,,
Sepulveda  Bruno,Barracas Ctral.,5,26,5.2,30,6,0,0,1,0,1,0,0,,0,,
Brea  Julian,Sarmiento,6,36,6,44,7.33,0,0,1,1,0,0,0,,0,,
Castro  Santiago,Velez,3,14,4.67,16,5.33,0,0,0,1,1,0,0,,0,,
Diaz  Leandro,Estudiantes,6,36,6,48,8,0,0,4,0,2,0,1,,0,,
Janson  Lucas,Velez,6,33,5.5,41,6.83,0,0,2,0,0,0,0,,0,,
Lopez  Renzo,Ctral. Cordoba,6,28,4.67,32,5.33,0,0,2,0,3,0,0,,0,,
Pratto  Lucas,Velez,6,31,5.17,35,5.83,0,0,0,1,0,0,0,,0,,
Retegui  Mateo,Tigre,6,23,3.83,27,4.5,0,0,1,0,0,0,0,,0,,
Nuss  Thiago,Argentinos,6,4,0.67,15,2.5,0,0,1,0,0,0,0,,1,,
Cruz  Juan Manuel,Banfield,6,32,5.33,35,5.83,1,0,0,0,0,0,0,,0,,
Lomonaco  Sebastian,Arsenal,6,34,5.67,45,7.5,1,0,2,0,1,0,0,,0,,
Bandiera  Neri,Barracas Ctral.,5,19,3.8,29,5.8,0,0,2,0,0,0,0,,0,,
Correa  Javier,Racing,3,15,5,15,5,0,0,1,0,0,0,1,,0,,
Enrique  Ramiro,Banfield,1,6,6,10,10,0,0,1,0,1,0,0,,0,,
Garcia  Juan Manuel,Newell's,6,29,4.83,31,5.17,0,0,1,0,2,0,0,,0,,
Garro  Juan Fernando,Newell's,6,29,4.83,31,5.17,0,0,1,0,1,0,0,,0,,
Gonzalez  Francisco,Newell's,6,33,5.5,37,6.17,0,0,1,0,0,0,0,,0,,
Lotti  Augusto,Atl. Tucuman,5,24,4.8,26,5.2,0,0,1,0,1,0,0,,0,,
Sand  Jose,Lanus,6,28,4.67,32,5.33,0,0,1,0,0,0,0,,0,,
Sordo  Ramiro,Newell's,6,29,4.83,33,5.5,0,0,1,0,0,0,0,,0,,
Toledo  Javier,Sarmiento,3,16,5.33,18,6,0,0,1,0,1,0,0,,0,,
Brochero  Lucas,Arsenal,5,29,5.8,29,5.8,0,0,1,0,2,0,0,,0,,
Fontana  Agustin,Def. y Justicia,6,6,1,15,2.5,0,0,1,0,1,0,0,,1,,
Girotti  Federico,Talleres,5,26,5.2,22,4.4,0,0,1,0,2,1,0,,0,,
Batallini  Damian,Independiente,5,30,6,30,6,0,0,0,0,0,0,0,,0,,
Cabrera  Javier,Argentinos,6,36,6,34,5.67,0,0,0,0,1,0,0,,0,,
