Nombre_del_jugador,Club_del_Jugador,Part_jugados,puntos_clarin,Promedio_Puntos_Clarin,Puntos_Gran_DT,Promedio_Puntos_Gran_DT,Gol_de_Penal,Gol_en_Contra,Gol,Figura_de_la_cancha,Tarjeta_Amarilla,Tarjeta_roja,Penal_Errado,Valla_Invicta,Gol_de_Oro,Penal_atajado,Goles_recibidos
Spetale  Aaron,Estudiantes,1,5,5,5,5,0,0,0,0,0,0,0,,0,,
Suarez  Matias,River,1,5,5,5,5,0,0,0,0,0,0,0,,0,,
Veron  Gaston,Argentinos,3,5,1.67,5,1.67,0,0,0,0,0,0,0,,0,,
Vides  Bruno,Huracan,2,5,2.5,5,2.5,0,0,0,0,0,0,0,,0,,
Viola  Valentin,Barracas Ctral.,2,5,2.5,5,2.5,0,0,0,0,0,0,0,,0,,
Vazquez  Luis,Boca,5,10,2,10,2,0,0,0,0,0,0,0,,0,,
abila  Ramon,Colon,4,10,2.5,10,2.5,0,0,0,0,0,0,0,,0,,
Bareiro  Adam,San Lorenzo,5,19,3.8,13,2.6,0,0,0,0,3,0,0,,0,,
Zeballos  Exequiel,Boca,5,6,1.2,2,0.4,0,0,0,0,2,0,0,,0,,
Batalla  Emerson,Talleres,3,8,2.67,6,2,0,0,0,0,1,0,0,,0,,
Coman  Franco,Atl. Tucuman,2,4,2,4,2,0,0,0,0,0,0,0,,0,,
Esquivel  Juan Cruz,Talleres,2,4,2,4,2,0,0,0,0,0,0,0,,0,,
Isa Luna  Kevin,Atl. Tucuman,1,4,4,4,4,0,0,0,0,0,0,0,,0,,
Mansilla  Brian,Platense,3,8,2.67,6,2,0,0,0,0,1,0,0,,0,,
Ribas  Sebastian,Ctral. Cordoba,5,8,1.6,8,1.6,0,0,0,0,0,0,0,,0,,
Romero  Julian,Independiente,1,4,4,4,4,0,0,0,0,0,0,0,,0,,
Zapiola  Franco,Estudiantes,2,4,2,4,2,0,0,0,0,0,0,0,,0,,
Garcia  Eduardo,San Lorenzo,1,5,5,3,3,0,0,0,0,1,0,0,,0,,
Albertengo  Lucas,Def. y Justicia,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Amaya  Abel,Banfield,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Caraglio  Milton,Rosario Ctral.,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Colman  Cristian,Arsenal,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Cordero  Nicolas,Huracan,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Cuadra  Maximiliano,Banfield,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Cvitanich  Dario,Banfield,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Dominguez  Alexis,Gimnasia L.P.,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Dominguez  Benjamin,Gimnasia L.P.,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Gallegos  Matias,Union,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Gallo  Agustin,Ctral. Cordoba,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Garre  Benjamin,Racing,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Gonzalez  Federico,Platense,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Leguizamon  Nicolas,Colon,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Maestro Puch  Ignacio,Atl. Tucuman,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Osorio  Abiel,Velez,2,0,0,0,0,0,0,0,0,0,0,0,,0,,
Sanabria  Mateo,Lanus,5,0,0,0,0,0,0,0,0,0,0,0,,0,,
Sandoval  Tomas,Platense,1,0,0,0,0,0,0,0,0,0,0,0,,0,,
Torres  Edwin,Arsenal,5,0,0,0,0,0,0,0,0,0,0,0,,0,,
